Nombre acentuado del distrito;Numero de barrios;num_calles;Superficie (m2);superficie_km2;densidad_calles_km2;poblacion;densidad_poblacion_km2;densidad_poblacion_numcalles
CENTRO              ;6,00;213,00;5231264,00;5,2312640;40,71673691;131928,00;25219,14398;619,3802817
ARGANZUELA          ;7,00;239,00;6466400,00;6,4664000;36,96028702;151965,00;23500,71137;635,8368201
RETIRO              ;6,00;654,00;5465307,00;5,4653070;119,6639091;118516,00;21685,14962;181,2171254
SALAMANCA           ;6,00;549,00;5387243,00;5,3872430;101,9074135;143800,00;26692,68863;261,9307832
CHAMARTÍN           ;6,00;419,00;9170122,00;9,1701220;45,69186757;143424,00;15640,35898;342,300716
TETUÁN              ;6,00;160,00;5388121,00;5,3881210;29,69495303;153789,00;28542,23207;961,18125
CHAMBERÍ            ;6,00;436,00;4674105,00;4,6741050;93,27988995;137401,00;29396,21596;315,1399083
FUENCARRAL-EL PARDO ;8,00;589,00;237810357,00;237,8103570;2,476763449;238756,00;1003,976458;405,3582343
MONCLOA-ARAVACA     ;7,00;573,00;46531134,00;46,5311340;12,3143356;116903,00;2512,360864;204,0191972
LATINA              ;7,00;441,00;25417269,00;25,4172690;17,3504085;233808,00;9198,785283;530,1768707
CARABANCHEL         ;7,00;609,00;14048399,00;14,0483990;43,35013549;243998,00;17368,38482;400,6535304
USERA               ;7,00;87,00;7755083,00;7,7550830;11,2184486;134791,00;17380,98741;1549,321839
PUENTE DE VALLECAS  ;6,00;546,00;15005833,00;15,0058330;36,38585076;227595,00;15167,10202;416,8406593
MORATALAZ           ;6,00;168,00;6110071,00;6,1100710;27,49558884;94197,00;15416,67846;560,6964286
CIUDAD LINEAL       ;9,00;212,00;11425706,00;11,4257060;18,55465212;212529,00;18600,95122;1002,495283
HORTALEZA           ;6,00;501,00;27414593,00;27,4145930;18,27493846;180462,00;6582,698492;360,2035928
VILLAVERDE          ;5,00;373,00;20176220,00;20,1762200;18,48711007;142608,00;7068,12277;382,3270777
VILLA DE VALLECAS   ;3,00;318,00;51417806,00;51,4178060;6,184627948;104421,00;2030,833443;328,3679245
VICÁLVARO           ;2,00;241,00;35193627,00;35,1936270;6,847830717;70051,00;1990,4456;290,6680498
SAN BLAS-CANILLEJAS ;8,00;336,00;22370042,00;22,3700420;15,02008803;154357,00;6900,165856;459,3958333
BARAJAS             ;5,00;350,00;41908185,00;41,9081850;8,351590507;46876,00;1118,540447;133,9314286
